Date,Close/Last,Volume,Open,High,Low
11/04/2024,$222.01,44944470,$220.99,$222.79,$219.71
11/01/2024,$222.91,65276740,$220.965,$225.35,$220.27
10/31/2024,$225.91,64370090,$229.34,$229.83,$225.37
10/30/2024,$230.10,47070910,$232.61,$233.47,$229.55
10/29/2024,$233.67,35417250,$233.10,$234.325,$232.32
10/28/2024,$233.40,36087130,$233.32,$234.73,$232.55
10/25/2024,$231.41,38802300,$229.74,$233.22,$229.57
10/24/2024,$230.57,31109500,$229.98,$230.82,$228.41
10/23/2024,$230.76,52286980,$234.08,$235.144,$227.76
10/22/2024,$235.86,38846580,$233.885,$236.22,$232.60
10/21/2024,$236.48,36254470,$234.45,$236.85,$234.45
10/18/2024,$235.00,46431470,$236.18,$236.18,$234.01
10/17/2024,$232.15,32993810,$233.43,$233.85,$230.52
10/16/2024,$231.78,34082240,$231.60,$232.12,$229.84
10/15/2024,$233.85,64751370,$233.61,$237.49,$232.37
10/14/2024,$231.30,39882090,$228.70,$231.73,$228.60
10/11/2024,$227.55,31759190,$229.30,$229.41,$227.34
10/10/2024,$229.04,28183540,$227.78,$229.50,$227.17
10/09/2024,$229.54,33591090,$225.23,$229.75,$224.83
10/08/2024,$225.77,31855690,$224.30,$225.98,$223.25
10/07/2024,$221.69,39505350,$224.50,$225.69,$221.33
10/04/2024,$226.80,37345100,$227.90,$228.00,$224.13
